HOUR,AMT,CNT
1,659598.5045576963,30.223119950279678
2,383275.38727873954,74.27883680217856
3,944711.70705314,161.93826086956523
4,2329995.218937198,272.8000966183575
5,3357159.023768116,335.64251207729467
6,2724903.151690821,278.12106280193234
7,2171319.928405797,211.34666666666666
8,2493324.378937198,199.43053140096617
9,1426525.3422734314,101.70933384972889
10,381526.0990272161,20.525959121215433
