DONG,HOUR,DAY,AMT,CNT
매교동,10,1,28535.666666666668,5.78030303030303
매교동,10,2,27234.541984732823,5.854961832061068
매교동,10,3,87612.3880597015,5.7835820895522385
매교동,10,4,59320.1231884058,6.173913043478261
매교동,10,5,43908.619718309856,8.309859154929578
매교동,10,6,49057.16197183099,8.619718309859154
매교동,10,7,73455.9465648855,5.908396946564886
매산동,1,1,530148.1148648649,32.804054054054056
매산동,1,2,378849.2027027027,28.43243243243243
매산동,1,3,461480.0675675676,30.35810810810811
매산동,1,4,447302.60135135136,29.364864864864863
매산동,1,5,473064.64864864864,33.28378378378378
매산동,1,6,1168060.0068027212,52.04761904761905
매산동,1,7,1562494.3918918918,62.71621621621622
매산동,2,1,595561.4256756756,152.21621621621622
매산동,2,2,630063.2094594594,157.4527027027027
매산동,2,3,627163.9054054054,158.34459459459458
매산동,2,4,651911.027027027,163.07432432432432
매산동,2,5,673754.3648648649,165.00675675675674
매산동,2,6,635509.0,117.57142857142857
매산동,2,7,406893.5945945946,73.00675675675676
매산동,3,1,1444195.3716216215,295.2027027027027
매산동,3,2,1382691.3716216215,284.68243243243245
매산동,3,3,1408008.0337837837,289.8310810810811
매산동,3,4,1410142.6081081082,292.11486486486484
매산동,3,5,1525530.6013513512,302.30405405405406
매산동,3,6,2221046.768707483,367.74149659863946
매산동,3,7,1883701.1824324324,300.72972972972974
매산동,4,1,3191365.871621622,386.7364864864865
매산동,4,2,3100190.1621621624,380.0878378378378
매산동,4,3,3115135.25,382.6554054054054
매산동,4,4,3122083.8175675673,387.69594594594594
매산동,4,5,3336924.445945946,415.38513513513516
매산동,4,6,5484720.700680272,578.8775510204082
매산동,4,7,5470438.810810811,538.5878378378378
매산동,5,1,4939872.756756756,530.2905405405405
매산동,5,2,4749618.47972973,514.4527027027027
매산동,5,3,5025592.97972973,531.3581081081081
매산동,5,4,4993620.418918919,535.6959459459459
매산동,5,5,5430115.891891892,586.0405405405405
매산동,5,6,11374708.850340135,986.6054421768707
매산동,5,7,10623420.47972973,910.7094594594595
매산동,6,1,4194347.324324325,454.05405405405406
매산동,6,2,3850479.189189189,434.1283783783784
매산동,6,3,4066343.581081081,456.9932432432432
매산동,6,4,4056756.885135135,461.2635135135135
매산동,6,5,4789914.108108108,536.8108108108108
매산동,6,6,10912150.700680273,991.5238095238095
매산동,6,7,9815738.418918919,881.6351351351351
매산동,7,1,3921818.6756756757,412.3716216216216
매산동,7,2,3804194.6621621624,406.2432432432432
매산동,7,3,3854939.0675675673,421.1081081081081
매산동,7,4,3861965.5135135134,425.8378378378378
매산동,7,5,4797580.486486486,516.9256756756756
매산동,7,6,9020344.598639457,753.5918367346939
매산동,7,7,7764196.425675675,637.5675675675676
매산동,8,1,4672315.810810811,380.1756756756757
매산동,8,2,4760126.682432433,391.7094594594595
매산동,8,3,5054987.513513514,409.1216216216216
매산동,8,4,5252777.1486486485,418.72972972972974
매산동,8,5,7123469.297297297,556.1824324324324
매산동,8,6,9739977.503401361,652.795918367347
매산동,8,7,6864511.6013513515,503.4864864864865
매산동,9,1,2578893.135135135,174.40540540540542
매산동,9,2,2734223.918918919,180.4527027027027
매산동,9,3,2872130.4864864866,187.97297297297297
매산동,9,4,3137455.2972972975,202.34459459459458
매산동,9,5,5497699.452702703,318.13513513513516
매산동,9,6,6529056.102040816,358.0612244897959
매산동,9,7,3107774.810810811,208.0608108108108
매산동,10,1,434502.3243243243,22.364864864864863
매산동,10,2,442384.61486486485,22.527027027027028
매산동,10,3,510931.83108108107,24.304054054054053
매산동,10,4,580132.4459459459,27.756756756756758
매산동,10,5,1230417.277027027,53.0
매산동,10,6,1491888.2789115647,60.27891156462585
매산동,10,7,500716.2972972973,26.35810810810811
우만1동,1,1,45848.34722222222,12.73611111111111
우만1동,1,2,38607.04137931034,11.648275862068965
우만1동,1,3,43000.66891891892,12.621621621621621
우만1동,1,4,60587.78767123288,13.431506849315069
우만1동,1,5,46019.72727272727,13.41958041958042
우만1동,1,6,65446.82191780822,15.993150684931507
우만1동,1,7,61394.41095890411,15.164383561643836
우만1동,2,1,191171.41216216216,48.013513513513516
우만1동,2,2,231791.58783783784,50.28378378378378
우만1동,2,3,245031.06756756757,53.33783783783784
우만1동,2,4,216173.97297297296,53.57432432432432
우만1동,2,5,229133.87162162163,55.08108108108108
우만1동,2,6,311456.85714285716,54.6530612244898
우만1동,2,7,270192.63513513515,43.16216216216216
우만1동,3,1,460372.66891891893,85.37837837837837
우만1동,3,2,490744.91891891893,87.49324324324324
우만1동,3,3,448702.1756756757,87.21621621621621
우만1동,3,4,447624.36486486485,87.69594594594595
우만1동,3,5,474733.4662162162,93.1891891891892
우만1동,3,6,723336.2176870748,122.03401360544218
우만1동,3,7,526593.1824324324,90.72297297297297
우만1동,4,1,1068429.027027027,155.77027027027026
우만1동,4,2,1212540.4189189188,167.27027027027026
우만1동,4,3,1224489.1824324324,166.22297297297297
우만1동,4,4,1186381.3513513512,167.8310810810811
우만1동,4,5,1224312.6216216215,165.88513513513513
우만1동,4,6,1255832.0340136054,166.0
우만1동,4,7,1055465.445945946,139.89864864864865
우만1동,5,1,912964.2972972973,135.6689189189189
우만1동,5,2,958255.8378378379,142.27702702702703
우만1동,5,3,995989.2972972973,143.6283783783784
우만1동,5,4,1011765.8175675676,144.3310810810811
우만1동,5,5,1037233.9864864865,150.38513513513513
우만1동,5,6,1877953.4829931974,218.2721088435374
우만1동,5,7,1722060.6824324324,196.70945945945945
우만1동,6,1,687888.8243243244,103.27702702702703
우만1동,6,2,677241.9797297297,105.58108108108108
우만1동,6,3,718719.6554054054,107.02027027027027
우만1동,6,4,643892.8783783783,102.41216216216216
우만1동,6,5,765682.0945945946,109.71621621621621
우만1동,6,6,1477091.1360544218,173.3877551020408
우만1동,6,7,1252321.8243243243,152.9391891891892
우만1동,7,1,511908.9459459459,78.1554054054054
우만1동,7,2,541911.3243243244,83.29054054054055
우만1동,7,3,537273.6081081082,82.6891891891892
우만1동,7,4,571749.4864864865,84.02027027027027
우만1동,7,5,579763.222972973,86.64189189189189
우만1동,7,6,938930.8775510204,116.05442176870748
우만1동,7,7,784696.7905405406,102.89189189189189
우만1동,8,1,478193.1081081081,73.61486486486487
우만1동,8,2,511444.8581081081,74.06756756756756
우만1동,8,3,540382.472972973,77.76351351351352
우만1동,8,4,538390.777027027,78.08783783783784
우만1동,8,5,570328.0405405406,83.39189189189189
우만1동,8,6,683530.7142857143,88.61904761904762
우만1동,8,7,537673.3648648649,78.87837837837837
우만1동,9,1,165189.3918918919,33.4054054054054
우만1동,9,2,177792.92567567568,33.695945945945944
우만1동,9,3,197048.95945945947,34.9054054054054
우만1동,9,4,182802.22972972973,35.38513513513514
우만1동,9,5,232515.75675675675,41.29054054054054
우만1동,9,6,234147.5918367347,40.36054421768708
우만1동,9,7,170367.54054054053,32.898648648648646
우만1동,10,1,27930.78014184397,6.319148936170213
우만1동,10,2,27850.294964028777,6.251798561151079
우만1동,10,3,28439.96323529412,6.875
우만1동,10,4,27847.102941176472,6.764705882352941
우만1동,10,5,38233.79285714286,8.15
우만1동,10,6,39827.25,8.166666666666666
우만1동,10,7,28840.441176470587,6.338235294117647
우만2동,1,1,91533.71621621621,17.91216216216216
우만2동,1,2,78036.21621621621,17.10810810810811
우만2동,1,3,73624.78231292516,17.80952380952381
우만2동,1,4,74731.44897959183,18.86394557823129
우만2동,1,5,74494.37837837837,18.64189189189189
우만2동,1,6,92839.62585034013,22.0
우만2동,1,7,93019.67567567568,22.554054054054053
우만2동,2,1,320380.4391891892,72.47297297297297
우만2동,2,2,284910.9391891892,68.31756756756756
우만2동,2,3,309261.9662162162,76.03378378378379
우만2동,2,4,299175.1554054054,74.18243243243244
우만2동,2,5,291194.5608108108,70.31756756756756
우만2동,2,6,285630.49659863947,47.95918367346939
우만2동,2,7,103724.08108108108,25.425675675675677
우만2동,3,1,644194.3378378379,150.27702702702703
우만2동,3,2,617325.9189189189,145.07432432432432
우만2동,3,3,629874.0878378379,146.92567567567568
우만2동,3,4,633310.7702702703,150.53378378378378
우만2동,3,5,646323.3445945946,146.9391891891892
우만2동,3,6,672886.1972789116,136.8231292517007
우만2동,3,7,447354.00675675675,95.79054054054055
우만2동,4,1,1642510.8716216215,258.2162162162162
우만2동,4,2,1542150.1081081082,250.5810810810811
우만2동,4,3,1606714.1689189188,253.17567567567568
우만2동,4,4,1532801.6081081082,251.8108108108108
우만2동,4,5,1588821.8378378379,247.7972972972973
우만2동,4,6,1585980.0884353742,202.87074829931973
우만2동,4,7,1589738.75,179.73648648648648
우만2동,5,1,1738847.2702702703,241.73648648648648
우만2동,5,2,1809099.8648648649,238.91216216216216
우만2동,5,3,1766671.9932432433,251.0
우만2동,5,4,1724514.4864864864,241.5
우만2동,5,5,1874949.8851351351,246.79054054054055
우만2동,5,6,2633063.5646258504,268.9251700680272
우만2동,5,7,2767945.864864865,267.9256756756757
우만2동,6,1,1200177.5,164.5472972972973
우만2동,6,2,1090660.304054054,160.90540540540542
우만2동,6,3,1103470.6756756757,156.70945945945945
우만2동,6,4,1118192.2094594594,158.53378378378378
우만2동,6,5,1165893.5337837837,165.55405405405406
우만2동,6,6,1967085.9863945579,198.36054421768708
우만2동,6,7,1945025.945945946,194.8918918918919
우만2동,7,1,1146555.8581081082,149.1283783783784
우만2동,7,2,1096363.5067567567,152.10135135135135
우만2동,7,3,1140022.1418918918,148.53378378378378
우만2동,7,4,1087190.8175675676,149.8581081081081
우만2동,7,5,1091063.9527027027,143.6283783783784
우만2동,7,6,1693784.3537414966,152.10884353741497
우만2동,7,7,1659001.2635135136,153.24324324324326
우만2동,8,1,1511879.7567567567,150.00675675675674
우만2동,8,2,1568956.0810810812,149.77702702702703
우만2동,8,3,1583273.9527027027,152.27027027027026
우만2동,8,4,1581530.8378378379,150.8918918918919
우만2동,8,5,1764739.7162162163,151.55405405405406
우만2동,8,6,2362149.904761905,158.47619047619048
우만2동,8,7,2081012.1081081082,151.80405405405406
우만2동,9,1,634859.2837837838,70.02027027027027
우만2동,9,2,659609.9594594594,71.39189189189189
우만2동,9,3,730962.3175675676,75.18243243243244
우만2동,9,4,688901.7702702703,74.18243243243244
우만2동,9,5,1019364.8986486486,84.5945945945946
우만2동,9,6,1057338.1292517006,84.08163265306122
우만2동,9,7,671029.9391891892,65.50675675675676
우만2동,10,1,60714.013605442175,11.217687074829932
우만2동,10,2,95516.24489795919,11.136054421768707
우만2동,10,3,93718.23129251701,11.97278911564626
우만2동,10,4,57131.62328767123,11.73972602739726
우만2동,10,5,81220.9054054054,13.844594594594595
우만2동,10,6,76472.15646258503,12.986394557823129
우만2동,10,7,53144.58904109589,10.931506849315069
인계동,1,1,3233302.418918919,117.41216216216216
인계동,1,2,3228842.385135135,109.12162162162163
인계동,1,3,3431907.310810811,114.54729729729729
인계동,1,4,3261682.864864865,113.0608108108108
인계동,1,5,3883282.1486486485,117.6891891891892
인계동,1,6,7991947.870748299,272.89115646258506
인계동,1,7,10389908.141891891,345.5135135135135
인계동,2,1,1595978.8986486488,307.63513513513516
인계동,2,2,1711625.4932432433,321.8918918918919
인계동,2,3,1808088.054054054,329.9189189189189
인계동,2,4,1780181.1148648649,336.4054054054054
인계동,2,5,1890124.1148648649,349.2094594594595
인계동,2,6,1456665.306122449,163.06802721088437
인계동,2,7,1025179.0202702703,96.35135135135135
인계동,3,1,3265640.918918919,563.331081081081
인계동,3,2,3488438.3513513515,571.9864864864865
인계동,3,3,3469894.4324324327,587.8648648648649
인계동,3,4,3462720.108108108,584.5337837837837
인계동,3,5,3979148.060810811,613.4121621621622
인계동,3,6,3795821.7482993198,587.3945578231293
인계동,3,7,2805764.445945946,428.64864864864865
인계동,4,1,8204836.094594595,990.6081081081081
인계동,4,2,8368659.547297297,1013.6824324324324
인계동,4,3,8744517.43918919,1031.9864864864865
인계동,4,4,8612335.93918919,1026.0067567567567
인계동,4,5,9078228.797297297,1054.412162162162
인계동,4,6,7258838.013605442,884.1088435374149
인계동,4,7,6451989.243243244,740.8851351351351
인계동,5,1,7765651.689189189,880.0743243243244
인계동,5,2,7508666.972972973,880.6621621621622
인계동,5,3,8055979.655405405,913.4459459459459
인계동,5,4,7869471.668918919,900.3243243243244
인계동,5,5,8386554.364864865,940.4054054054054
인계동,5,6,15510918.94557823,1266.0
인계동,5,7,13351875.0,1105.4054054054054
인계동,6,1,5861933.081081081,642.5608108108108
인계동,6,2,5604973.155405405,617.8040540540541
인계동,6,3,5791492.452702703,647.5067567567568
인계동,6,4,5557686.8513513515,633.3783783783783
인계동,6,5,6589399.763513514,693.9662162162163
인계동,6,6,11506712.707482994,1075.2108843537414
인계동,6,7,8861405.587837838,908.972972972973
인계동,7,1,5136040.608108108,515.8040540540541
인계동,7,2,5265909.574324325,523.1081081081081
인계동,7,3,5385168.121621622,542.3175675675676
인계동,7,4,5406239.5,550.4527027027027
인계동,7,5,6542943.1013513515,624.5405405405405
인계동,7,6,10000929.823129252,846.0816326530612
인계동,7,7,7124757.810810811,637.0067567567568
인계동,8,1,6520160.222972973,517.0337837837837
인계동,8,2,7320828.959459459,537.9256756756756
인계동,8,3,7365152.486486486,569.2635135135135
인계동,8,4,7751067.844594595,577.5
인계동,8,5,9823492.472972972,722.5135135135135
인계동,8,6,14538519.56462585,843.1768707482993
인계동,8,7,8216319.824324325,590.9864864864865
인계동,9,1,5146871.432432433,321.4527027027027
인계동,9,2,5292255.135135135,332.31756756756755
인계동,9,3,5398964.702702703,343.39864864864865
인계동,9,4,6034980.1013513515,354.0878378378378
인계동,9,5,9420417.581081081,554.9932432432432
인계동,9,6,11881944.0,654.6938775510204
인계동,9,7,5274879.97972973,341.2837837837838
인계동,10,1,1347696.304054054,64.48648648648648
인계동,10,2,1594416.972972973,71.42567567567568
인계동,10,3,1822247.7027027027,71.66216216216216
인계동,10,4,1777686.439189189,74.02027027027027
인계동,10,5,3387304.635135135,152.93243243243242
인계동,10,6,4388730.80952381,187.0204081632653
인계동,10,7,1524868.3918918918,71.22972972972973
지동,1,1,25474.967479674797,6.0
지동,1,2,32686.504,5.856
지동,1,3,24173.67716535433,6.181102362204724
지동,1,4,29946.55905511811,5.803149606299213
지동,1,5,25280.596899224805,5.883720930232558
지동,1,6,23342.432432432433,4.306306306306307
지동,1,7,20210.982608695653,4.747826086956522
지동,2,1,487889.8561643836,65.35616438356165
지동,2,2,545430.0680272109,70.16326530612245
지동,2,3,517200.2972972973,71.58783783783784
지동,2,4,521441.90476190473,71.25170068027211
지동,2,5,534744.2671232877,69.5958904109589
지동,2,6,150063.1379310345,22.93793103448276
지동,2,7,64240.75590551181,10.393700787401574
지동,3,1,582473.472972973,87.6891891891892
지동,3,2,616961.4459459459,94.06756756756756
지동,3,3,637989.6756756756,96.24324324324324
지동,3,4,617121.972972973,95.1891891891892
지동,3,5,605446.2905405406,89.70270270270271
지동,3,6,377273.2244897959,49.925170068027214
지동,3,7,287566.3918918919,34.310810810810814
지동,4,1,820456.9594594594,106.81756756756756
지동,4,2,868557.0472972973,114.71621621621621
지동,4,3,830760.0337837838,111.83108108108108
지동,4,4,920656.4932432432,116.02702702702703
지동,4,5,866661.6824324324,106.0945945945946
지동,4,6,662008.9387755102,65.71428571428571
지동,4,7,744942.1689189189,65.16216216216216
지동,5,1,891683.0135135135,109.42567567567568
지동,5,2,901380.5878378379,115.4391891891892
지동,5,3,964801.0135135135,116.86486486486487
지동,5,4,898619.3648648649,113.87162162162163
지동,5,5,835801.3243243244,101.78378378378379
지동,5,6,911815.1088435374,84.34693877551021
지동,5,7,1016917.4121621621,98.01351351351352
지동,6,1,646314.6283783783,74.4054054054054
지동,6,2,588747.0472972973,76.14864864864865
지동,6,3,602822.4391891892,74.02702702702703
지동,6,4,586563.1148648649,73.49324324324324
지동,6,5,599613.3378378379,64.89189189189189
지동,6,6,830962.1224489796,69.63945578231292
지동,6,7,829648.9932432432,76.31756756756756
지동,7,1,408019.04054054053,36.86486486486486
지동,7,2,390518.89864864864,36.101351351351354
지동,7,3,398837.1756756757,34.96621621621622
지동,7,4,385332.4864864865,35.986486486486484
지동,7,5,451284.83108108107,35.317567567567565
지동,7,6,853049.0544217688,50.476190476190474
지동,7,7,697745.6756756756,45.891891891891895
지동,8,1,339041.45945945947,24.594594594594593
지동,8,2,344164.50675675675,24.87162162162162
지동,8,3,347505.2635135135,24.736486486486488
지동,8,4,355130.4324324324,25.60135135135135
지동,8,5,426739.33108108107,28.9527027027027
지동,8,6,840801.9523809524,46.625850340136054
지동,8,7,556099.9189189189,35.08783783783784
지동,9,1,92483.68493150685,9.150684931506849
지동,9,2,96067.07534246576,9.664383561643836
지동,9,3,82472.62937062937,8.797202797202797
지동,9,4,80311.28965517241,9.303448275862069
지동,9,5,126517.16326530612,12.360544217687075
지동,9,6,187485.85616438356,16.39041095890411
지동,9,7,117278.86013986015,10.552447552447552
지동,10,1,19536.18666666667,2.8
지동,10,2,16917.164383561645,3.0273972602739727
지동,10,3,14442.236842105263,3.1447368421052633
지동,10,4,10916.337837837838,3.0405405405405403
지동,10,5,15273.808988764045,3.2247191011235956
지동,10,6,34948.0,3.727272727272727
지동,10,7,19816.901408450703,3.084507042253521
행궁동,1,1,81307.65546218488,7.336134453781512
행궁동,1,2,76577.1978021978,7.252747252747253
행궁동,1,3,59170.46153846154,5.778846153846154
행궁동,1,4,72758.29090909091,6.545454545454546
행궁동,1,5,65853.33018867925,5.915094339622642
행궁동,1,6,121452.46666666666,8.866666666666667
행궁동,1,7,182757.54609929078,11.48936170212766
행궁동,2,1,258419.13513513515,48.37162162162162
행궁동,2,2,215832.4054054054,48.7972972972973
행궁동,2,3,250476.95945945947,53.513513513513516
행궁동,2,4,241674.37837837837,52.86486486486486
행궁동,2,5,265889.00675675675,55.2972972972973
행궁동,2,6,169677.91836734695,32.734693877551024
행궁동,2,7,117818.27702702703,22.60135135135135
행궁동,3,1,758675.3581081082,97.0
행궁동,3,2,895379.9121621621,101.17567567567568
행궁동,3,3,878679.1621621621,109.18243243243244
행궁동,3,4,1058213.3445945946,109.20945945945945
행궁동,3,5,920038.8378378379,117.05405405405405
행궁동,3,6,1373741.6802721089,147.91156462585033
행궁동,3,7,1316502.027027027,132.01351351351352
행궁동,4,1,3840591.5202702703,326.60135135135135
행궁동,4,2,3934787.4054054054,319.2094594594595
행궁동,4,3,4197516.77027027,340.56081081081084
행궁동,4,4,3924400.3986486485,333.80405405405406
행궁동,4,5,4337608.358108108,356.14864864864865
행궁동,4,6,6241419.653061224,455.5578231292517
행궁동,4,7,6302919.695945946,474.36486486486484
행궁동,5,1,6462384.641891892,498.2635135135135
행궁동,5,2,6140603.114864865,466.4189189189189
행궁동,5,3,6649879.972972973,501.55405405405406
행궁동,5,4,6252778.783783784,489.80405405405406
행궁동,5,5,7118857.364864865,552.8648648648649
행궁동,5,6,14914682.530612245,1049.3197278911564
행궁동,5,7,14739176.912162162,1042.0675675675675
행궁동,6,1,5352640.912162162,432.64864864864865
행궁동,6,2,4878332.77027027,387.31081081081084
행궁동,6,3,5435802.094594595,427.1283783783784
행궁동,6,4,5193163.236486486,404.6621621621622
행궁동,6,5,6066133.108108108,477.81756756756755
행궁동,6,6,15415874.952380951,1165.047619047619
행궁동,6,7,13735691.385135135,1048.7837837837837
행궁동,7,1,3523869.777027027,274.5472972972973
행궁동,7,2,3261734.4121621624,255.5810810810811
행궁동,7,3,3608781.2297297297,273.72297297297297
행궁동,7,4,3452979.1486486485,272.30405405405406
행궁동,7,5,4179588.0202702703,328.7837837837838
행궁동,7,6,10067913.986394558,754.6666666666666
행궁동,7,7,8453299.85135135,642.418918918919
행궁동,8,1,3237963.108108108,235.9189189189189
행궁동,8,2,3212494.0,233.90540540540542
행궁동,8,3,3482178.9256756757,251.1283783783784
행궁동,8,4,3561219.493243243,255.4189189189189
행궁동,8,5,4534494.317567567,332.31756756756755
행궁동,8,6,8392157.414965987,611.0272108843537
행궁동,8,7,5773980.797297297,433.0
행궁동,9,1,801225.2702702703,63.101351351351354
행궁동,9,2,878430.6959459459,66.19594594594595
행궁동,9,3,906014.0067567568,72.58783783783784
행궁동,9,4,938942.8108108108,76.0608108108108
행궁동,9,5,1668760.8783783785,132.88513513513513
행궁동,9,6,2543636.5102040814,209.55102040816325
행궁동,9,7,1278691.8513513512,106.35810810810811
행궁동,10,1,83109.19626168224,4.766355140186916
행궁동,10,2,91575.39024390244,4.878048780487805
행궁동,10,3,96037.24545454545,5.918181818181818
행궁동,10,4,70803.46153846153,6.111111111111111
행궁동,10,5,157036.44520547945,12.58904109589041
행궁동,10,6,261314.95833333334,13.979166666666666
행궁동,10,7,95887.624,8.2
화서1동,1,1,40577.17692307692,6.846153846153846
화서1동,1,2,35926.664179104475,6.32089552238806
화서1동,1,3,32812.380281690144,6.063380281690141
화서1동,1,4,33310.77536231884,6.572463768115942
화서1동,1,5,43690.30147058824,6.610294117647059
화서1동,1,6,46699.09090909091,9.13986013986014
화서1동,1,7,63902.05517241379,9.627586206896552
화서1동,2,1,136972.99324324325,34.08783783783784
화서1동,2,2,134789.27027027027,35.027027027027025
화서1동,2,3,143144.37162162163,36.972972972972975
화서1동,2,4,138722.08783783784,34.95945945945946
화서1동,2,5,145167.62837837837,36.567567567567565
화서1동,2,6,119410.33333333333,28.5578231292517
화서1동,2,7,71494.48648648648,19.08108108108108
화서1동,3,1,379641.4527027027,85.0608108108108
